ipv,ips,iaa,ieg,no_av,ida,defasagem,media
7.278,5.6,8.3,4.1,4.0,4.0,1,4.896857142857143
6.778,6.3,8.8,5.2,4.0,6.8,0,5.411142857142857
7.556,5.6,0.0,7.9,4.0,5.6,0,4.379428571428571
5.278,5.6,8.8,4.5,4.0,5.0,0,4.739714285714285
7.389,5.6,7.9,8.6,4.0,5.2,0,5.527000000000001
7.222,7.5,7.9,4.5,4.0,3.3,1,5.060285714285714
7.667,7.5,0.0,8.4,4.0,7.6,1,5.166714285714286
6.278,6.3,7.1,4.6,4.0,1.6,1,4.411142857142857
9.5,7.5,8.8,9.5,4.0,6.7,1,6.714285714285714
7.056,5.0,8.3,5.2,4.0,4.1,1,4.950857142857143
6.389,5.0,9.2,4.2,4.0,3.0,1,4.684142857142858
6.389,6.9,0.0,4.0,4.0,1.5,0,3.255571428571429
8.056,7.5,7.9,7.4,4.0,4.7,1,5.7937142857142865
7.75,7.5,7.9,8.3,4.0,4.0,1,5.778571428571429
7.292,7.5,8.8,10.0,4.0,7.3,1,6.555999999999999
6.333,5.0,7.9,8.3,4.0,3.5,1,5.147571428571429
8.292,7.5,8.8,10.0,4.0,7.8,1,6.770285714285714
6.875,6.3,6.3,8.7,4.0,9.0,1,6.0249999999999995
7.0,7.5,7.9,9.5,4.0,8.0,1,6.414285714285714
7.167,6.3,7.1,10.0,4.0,7.8,1,6.195285714285714
7.25,7.5,9.6,9.2,4.0,3.8,1,6.049999999999999
8.833,8.1,8.3,7.4,4.0,6.7,1,6.333285714285715
8.556,8.1,8.3,8.2,4.0,6.7,1,6.408
9.111,6.9,9.2,7.9,4.0,8.6,1,6.673000000000001
9.667,8.8,8.3,8.3,4.0,6.9,1,6.7095714285714285
10.0,10.0,9.6,8.8,4.0,8.0,1,7.342857142857143
9.111,8.1,0.0,7.6,4.0,8.0,1,5.401571428571429
6.333,7.5,7.9,6.1,4.0,5.0,1,5.404714285714285
7.611,8.8,0.0,4.0,4.0,3.7,1,4.158714285714286
7.333,7.5,8.8,6.4,4.0,7.5,0,5.933285714285715
10.0,9.4,10.0,9.5,4.0,8.0,1,7.414285714285714
7.944,8.8,8.8,5.2,4.0,6.1,0,5.834857142857143
6.0,7.5,0.0,4.6,4.0,4.8,1,3.985714285714286
7.278,8.1,9.6,4.8,4.0,3.8,1,5.511142857142858
10.0,9.4,10.0,9.6,4.0,8.5,1,7.5
8.944,6.9,9.2,9.0,4.0,6.8,1,6.549142857142856
5.222,5.0,0.0,5.4,4.0,5.9,1,3.7888571428571427
9.833,7.5,9.2,8.9,4.0,8.6,1,7.004714285714286
6.111,6.9,0.0,4.8,4.0,6.9,0,4.101571428571428
7.75,7.5,7.9,7.8,3.0,6.8,1,5.964285714285714
4.375,5.0,9.2,6.1,3.0,5.6,1,4.896428571428571
6.083,5.6,8.3,7.9,3.0,4.8,0,5.097571428571428
5.958,5.6,6.3,6.5,3.0,4.3,1,4.6654285714285715
7.292,7.5,5.0,5.9,3.0,3.0,1,4.670285714285714
7.417,5.6,7.9,8.9,3.0,6.8,0,5.659571428571428
7.083,6.3,8.8,8.4,3.0,2.1,1,5.240428571428572
7.042,7.5,7.9,6.3,3.0,2.1,1,4.977428571428571
8.5,7.5,6.7,8.4,3.0,8.1,0,6.028571428571429
7.042,7.5,7.5,7.4,3.0,3.9,1,5.3345714285714285
7.542,7.5,7.5,8.4,3.0,7.8,1,6.106
6.5,7.5,8.8,7.6,3.0,5.0,1,5.628571428571428
7.5,7.5,9.6,8.9,3.0,6.2,0,6.1000000000000005
6.458,7.5,9.2,7.0,3.0,7.0,1,5.879714285714286
6.125,7.5,7.9,6.9,3.0,4.8,1,5.317857142857142
6.5,5.6,7.1,7.6,3.0,7.5,1,5.471428571428571
8.25,7.5,10.0,10.0,3.0,7.0,0,6.535714285714286
7.875,5.6,7.1,8.1,3.0,8.4,1,5.867857142857142
8.125,6.3,9.6,9.2,3.0,7.2,0,6.203571428571428
7.917,7.5,9.2,9.3,3.0,7.2,1,6.445285714285715
6.167,7.5,6.7,6.0,3.0,4.9,1,5.038142857142858
7.875,7.5,9.2,7.4,3.0,5.8,0,5.825
7.25,7.5,8.8,9.4,3.0,9.3,1,6.607142857142857
9.417,8.8,8.3,9.1,3.0,8.7,1,6.902428571428571
8.25,8.1,7.1,8.1,3.0,7.5,1,6.15
7.875,7.5,8.3,7.7,3.0,9.3,1,6.382142857142857
