ano,ano_ingresso,avaliador4,cf,cg,ct,defasagem,destaque_ida,destaque_ieg,destaque_ipv,fase,fase_ideal,gênero,iaa,ian,ida,ieg,inde,instituição_de_ensino,ips,ipv,nº_av,pedra,ra,rec_psicologia,turma
2022,2016,Avaliador-31,18.0,"753,000",10.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menina,"8,3","5,000","4,0","4,1","5,783",Escola Pública,"5,6","7,278",4.0,Ametista,RA-1,Requer avaliação,A
2022,2017,Avaliador-31,8.0,"469,000",3.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 7 (3º EM),Menina,"8,8","10,000","6,8","5,2","7,055",Rede Decisão,"6,3","6,778",4.0,Ametista,RA-2,Sem limitações,A
2022,2016,Avaliador-31,13.0,"629,000",6.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,Fase 7 (3º EM),Menina,"0,0","10,000","5,6","7,9","6,591",Rede Decisão,"5,6","7,556",4.0,Ametista,RA-3,Sem limitações,A
2022,2017,Avaliador-31,15.0,"731,000",7.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 7 (3º EM),Menino,"8,8","10,000","5,0","4,5","5,951",Rede Decisão,"5,6","5,278",4.0,Ametista,RA-4,Requer avaliação,A
2022,2016,Avaliador-31,6.0,"344,000",2.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 7 (3º EM),Menina,"7,9","10,000","5,2","8,6","7,427",Rede Decisão,"5,6","7,389",4.0,Ametista,RA-5,Requer avaliação,A
2022,2021,Avaliador-31,16.0,"745,000",8.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menina,"7,9","5,000","3,3","4,5","5,848",Escola Pública,"7,5","7,222",4.0,Ágata,RA-6,Sem limitações,A
2022,2017,Avaliador-31,11.0,"550,000",5.0,-1,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menino,"0,0","5,000","7,6","8,4","6,818",Rede Decisão,"7,5","7,667",4.0,Ametista,RA-7,Sem limitações,A
2022,2018,Avaliador-31,21.0,"836,000",13.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menina,"7,1","5,000","1,6","4,6","4,786",Escola Pública,"6,3","6,278",4.0,Quartzo,RA-8,Requer avaliação,A
2022,2019,Avaliador-31,1.0,"113,000",1.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menina,"8,8","5,000","6,7","9,5","8,109",Escola Pública,"7,5","9,500",4.0,Ametista,RA-9,Sem limitações,A
2022,2021,Avaliador-31,17.0,"752,000",9.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menina,"8,3","5,000","4,1","5,2","5,784",Escola Pública,"5,0","7,056",4.0,Ágata,RA-10,Requer avaliação,A
2022,2016,Avaliador-31,19.0,"799,000",11.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menina,"9,2","5,000","3,0","4,2","5,323",Escola Pública,"5,0","6,389",4.0,Quartzo,RA-11,Requer avaliação,A
2022,2020,Avaliador-31,20.0,"834,000",12.0,0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,Fase 7 (3º EM),Menina,"0,0","10,000","1,5","4,0","4,832",Escola Pública,"6,9","6,389",4.0,Ágata,RA-12,Sem limitações,A
2022,2016,Avaliador-31,10.0,"524,000",4.0,-1,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,Fase 8 (Universitários),Menino,"7,9","5,000","4,7","7,4","6,902",Escola Pública,"7,5","8,056",4.0,Ametista,RA-13,Sem limitações,A
