number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_recall_std,state
0,0.7829787234042553,2026-02-05 23:05:49.786114,2026-02-05 23:05:51.700317,0 days 00:00:01.914203,0.6624074561769746,0.02904180608409973,0.1205712628744377,10,2,250,0.8661761457749352,0.6011150117432088,0.8394633936788146,0.0180537901579544,COMPLETE
1,0.8493617021276595,2026-02-05 23:05:52.065444,2026-02-05 23:05:53.710002,0 days 00:00:01.644558,0.6849356442713105,0.09170225492671691,0.2708160864249968,3,2,383,0.3042422429595377,0.5247564316322378,0.9329770563201687,0.019703552174962113,COMPLETE
2,0.7965957446808509,2026-02-05 23:05:54.045811,2026-02-05 23:05:55.366186,0 days 00:00:01.320375,0.7168578594140873,0.22803499210851796,0.08012737503998542,5,4,273,0.7851759613930136,0.19967378215835974,0.6557975442608167,0.018723404255319136,COMPLETE
3,0.7055319148936171,2026-02-05 23:05:55.735930,2026-02-05 23:05:55.983109,0 days 00:00:00.247179,0.6682096494749166,0.4744427686266666,0.011711509955524094,7,1,306,0.9656320330745594,0.8083973481164611,0.8430179407605753,0.02039004008631649,COMPLETE
4,0.7531914893617021,2026-02-05 23:05:56.327889,2026-02-05 23:05:56.460975,0 days 00:00:00.133086,0.6488152939379115,0.017194260557609198,0.1024932221692416,3,5,222,0.9093204020787821,0.2587799816000169,0.7760609974958406,0.02984796241148968,COMPLETE
5,0.7506382978723403,2026-02-05 23:05:56.838982,2026-02-05 23:05:57.040714,0 days 00:00:00.201732,0.6739417822102108,0.3875664116805573,0.05864129169696527,5,10,365,0.9394989415641891,0.8948273504276488,0.8186841117373118,0.019518885006263337,COMPLETE
6,0.7004255319148935,2026-02-05 23:05:57.401283,2026-02-05 23:05:57.663251,0 days 00:00:00.261968,0.6180909155642152,0.194338644844741,0.01351182947645082,10,4,339,0.2713490317738959,0.8287375091519293,0.6783931449676581,0.016281809761454484,COMPLETE
7,0.7931914893617021,2026-02-05 23:05:58.020046,2026-02-05 23:05:58.227908,0 days 00:00:00.207862,0.9208787923016158,0.49344346830025865,0.06333268775321842,5,1,243,0.7722447692966574,0.1987156815341724,0.6563696899899051,0.018173750216223486,COMPLETE
8,0.7855319148936171,2026-02-05 23:05:58.616442,2026-02-05 23:05:58.838980,0 days 00:00:00.222538,0.9085081386743783,0.1792328642721363,0.11069143219393454,9,1,102,0.11586905952512971,0.8631034258755935,0.8916028672163949,0.01279429479010462,COMPLETE
9,0.7038297872340425,2026-02-05 23:05:59.181310,2026-02-05 23:05:59.391503,0 days 00:00:00.210193,0.7300733288106989,0.31877873567760656,0.012413189635294229,5,8,349,0.8872127425763265,0.4722149251619493,0.7243929286862649,0.02431124571418846,COMPLETE
10,0.865531914893617,2026-02-05 23:05:59.697508,2026-02-05 23:05:59.887373,0 days 00:00:00.189865,0.8182873120328862,0.1277217293825994,0.27047297227177763,3,7,488,0.4040260720186447,0.4792951727359478,0.9810323243403002,0.013617021276595732,COMPLETE
11,0.861276595744681,2026-02-05 23:06:00.278998,2026-02-05 23:06:00.482208,0 days 00:00:00.203210,0.8153994220705195,0.09996988961166513,0.24950292438859484,3,7,499,0.4635918553211216,0.48341897064943684,0.9884860601009259,0.00876223841786129,COMPLETE
12,0.8519148936170213,2026-02-05 23:06:00.860687,2026-02-05 23:06:01.018584,0 days 00:00:00.157897,0.8187954328668745,0.1106715492431963,0.28298068968665446,3,7,487,0.5615195711001008,0.3945277342875057,0.9995060732338602,0.018332475939181317,COMPLETE
13,0.8272340425531916,2026-02-05 23:06:01.368623,2026-02-05 23:06:01.618610,0 days 00:00:00.249987,0.822641447221497,0.12091701567204471,0.16404322580340455,7,7,499,0.5293469466158548,0.6693201910118401,0.9997449754566206,0.0212936102182073,COMPLETE
14,0.7608510638297872,2026-02-05 23:06:01.971792,2026-02-05 23:06:02.218484,0 days 00:00:00.246692,0.9978752684152137,0.27939929152165716,0.03714200138875004,4,9,430,0.3849679031223864,0.3846362884431037,0.9367745100544795,0.027366698197129412,COMPLETE
15,0.734468085106383,2026-02-05 23:06:02.600267,2026-02-05 23:06:02.797877,0 days 00:00:00.197610,0.7708806511395082,0.15472815134617385,0.026624223212611594,4,6,438,0.6412492882382235,0.6847322143200381,0.9404553650035126,0.0334631544703617,COMPLETE
16,0.8544680851063831,2026-02-05 23:06:03.168324,2026-02-05 23:06:03.449314,0 days 00:00:00.280990,0.8700292561874855,0.06464929223279153,0.19408516667353218,8,8,429,0.02721902639119672,0.013179214380923454,0.8836077324310705,0.014838804914181037,COMPLETE
17,0.8025531914893618,2026-02-05 23:06:03.823916,2026-02-05 23:06:04.002419,0 days 00:00:00.178503,0.7732285223717067,0.2533881284358335,0.16299485419239088,6,6,185,0.4519696249497039,0.3074325501369379,0.9663618049470519,0.010965190405723475,COMPLETE
